Datetime,TotalCoolingSensibleLoad (W) Building 1,TotalCoolingSensibleLoad (W) Building 2,TotalCoolingSensibleLoad (W) Building 3,TotalCoolingSensibleLoad (W) Building 4,TotalCoolingSensibleLoad (W) Building 5,TotalCoolingSensibleLoad (W) Building 6,TotalCoolingSensibleLoad (W) Building 8,TotalCoolingSensibleLoad (W) Building 9,TotalCoolingSensibleLoad (W) Building 12,TotalCoolingSensibleLoad (W) Building 14,TotalCoolingSensibleLoad (W) Building 19,TotalCoolingSensibleLoad (W) Building 23,TotalCoolingSensibleLoad (W) Building 26,TotalCoolingSensibleLoad (W) Building 27,TotalCoolingSensibleLoad (W) Building 32,TotalCoolingSensibleLoad (W) Building 33,TotalHeatingSensibleLoad (W) Building 1,TotalHeatingSensibleLoad (W) Building 2,TotalHeatingSensibleLoad (W) Building 3,TotalHeatingSensibleLoad (W) Building 4,TotalHeatingSensibleLoad (W) Building 5,TotalHeatingSensibleLoad (W) Building 6,TotalHeatingSensibleLoad (W) Building 8,TotalHeatingSensibleLoad (W) Building 9,TotalHeatingSensibleLoad (W) Building 12,TotalHeatingSensibleLoad (W) Building 14,TotalHeatingSensibleLoad (W) Building 19,TotalHeatingSensibleLoad (W) Building 23,TotalHeatingSensibleLoad (W) Building 26,TotalHeatingSensibleLoad (W) Building 27,TotalHeatingSensibleLoad (W) Building 32,TotalHeatingSensibleLoad (W) Building 33,TotalWaterHeating (W) Building 1,TotalWaterHeating (W) Building 2,TotalWaterHeating (W) Building 3,TotalWaterHeating (W) Building 4,TotalWaterHeating (W) Building 5,TotalWaterHeating (W) Building 6,TotalWaterHeating (W) Building 8,TotalWaterHeating (W) Building 9,TotalWaterHeating (W) Building 12,TotalWaterHeating (W) Building 14,TotalWaterHeating (W) Building 19,TotalWaterHeating (W) Building 23,TotalWaterHeating (W) Building 26,TotalWaterHeating (W) Building 27,TotalWaterHeating (W) Building 32,TotalWaterHeating (W) Building 33
2017-01-01 01:00:00,0.0,0.0,0.0,-43716.8,-564.7,-23039.5,-3065.0,0.0,0.0,0.0,-386.8,-844.1,0.0,-79648.7,0.0,0.0,1883.9,9.4,0.0,82861.0,26781.5,52237.5,65808.8,5116.3,15225.3,0.0,29468.9,27233.7,18010.3,164721.4,3818.8,308.7,4.2,575.4,2564.1,28268.7,242.2,12476.3,506.8,21.5,381.0,87.3,250.6,319.1,5643.5,52500.4,45.7,0.0
2017-01-01 02:00:00,0.0,0.0,0.0,-42698.4,-559.0,-22244.4,-3006.9,0.0,0.0,0.0,-392.5,-834.7,0.0,-77600.2,0.0,0.0,1887.3,428.1,0.0,80897.0,25845.0,50936.9,66937.2,5177.0,13231.2,0.0,28458.1,26294.8,14556.2,160547.1,3871.6,343.5,4.2,9.5,42.5,27488.8,241.2,11311.1,499.1,21.4,375.9,87.2,249.6,318.4,5642.5,51043.3,45.4,0.0
2017-01-01 03:00:00,0.0,0.0,0.0,-39531.4,-544.6,-20509.9,-2914.4,0.0,0.0,0.0,-376.1,-812.9,0.0,-72180.7,0.0,0.0,1955.9,752.1,0.0,83530.0,26776.5,52499.0,64709.5,5395.4,15219.8,0.0,29453.3,27233.9,15755.2,165862.9,4095.2,394.4,4.2,9.6,42.2,27490.5,240.0,11292.4,504.8,21.3,376.8,87.2,248.5,317.6,5635.0,51043.5,45.1,0.0
2017-01-01 04:00:00,0.0,0.0,0.0,-38254.7,-541.5,-19802.4,-2877.3,0.0,0.0,0.0,-373.1,-807.7,0.0,-70850.3,0.0,0.0,2000.3,1011.1,0.0,84631.4,27330.8,53155.4,66456.3,5525.4,16774.0,10.7,30065.9,27792.0,19252.7,168215.9,4262.0,493.2,4.2,9.6,42.0,27492.0,241.7,11292.1,501.0,21.3,378.7,87.1,249.7,316.7,5640.0,51043.7,44.8,0.0
2017-01-01 05:00:00,0.0,0.0,0.0,-37764.4,-540.6,-19521.8,-2851.9,0.0,0.0,0.0,-371.5,-805.8,0.0,-70091.1,0.0,0.0,2051.9,3117.7,2814.0,85707.4,27750.0,53813.6,66671.4,5674.9,14503.8,545.9,30512.5,28185.6,19166.9,170594.2,4447.3,710.0,4.2,9.6,41.7,27487.1,241.4,12399.0,502.5,21.2,373.3,87.0,250.0,318.8,5644.1,51044.0,44.5,0.0
2017-01-01 06:00:00,0.0,0.0,0.0,-37560.8,-541.1,-19519.8,-2834.0,0.0,0.0,0.0,-395.4,-805.7,0.0,-70051.6,0.0,0.0,1938.4,3121.4,1891.1,78255.4,23928.0,49098.0,61071.8,5440.6,16114.4,1426.7,26458.8,24207.1,17761.2,155033.3,4213.9,738.3,4.2,9.6,41.4,29089.2,240.2,13505.5,502.9,21.1,380.8,87.0,248.8,318.5,5636.5,54022.5,44.2,0.0
2017-01-01 07:00:00,0.0,0.0,0.0,-44457.4,-657.5,-23358.9,-3876.1,0.0,0.0,0.0,-523.6,-987.5,0.0,-81756.1,0.0,0.0,1906.8,2615.3,1688.4,74901.4,21998.1,47197.5,54387.3,5300.7,14893.9,2192.6,24584.9,22059.7,18474.0,149412.2,4282.1,886.1,286.7,542.2,2420.8,32270.2,241.1,15737.6,500.1,1119.2,6744.1,86.9,248.9,317.7,5636.6,60092.6,43.9,0.0
2017-01-01 08:00:00,0.0,0.0,0.0,-51303.9,-1142.8,-27168.1,-5519.0,0.0,0.0,0.0,-695.4,-1482.2,0.0,-92492.9,0.0,0.0,1905.4,2160.4,751.2,70836.1,20128.6,44838.9,47355.7,5297.3,16184.0,2790.5,22707.1,20062.9,15615.6,141807.0,4311.4,924.1,259.3,546.8,2424.2,32298.3,241.6,21280.3,504.7,899.7,4842.5,86.8,250.3,316.8,5645.7,60074.5,44.1,0.0
2017-01-01 09:00:00,0.0,0.0,0.0,-29432.8,0.0,-16108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69385.1,0.0,0.0,1798.3,1946.3,536.3,1960.0,4081.1,1925.4,14666.6,4923.4,12965.9,2601.5,6139.3,3991.9,16960.4,26524.0,4045.3,417.2,248.4,552.8,2431.0,32332.2,11533.7,25808.3,37473.6,829.5,4644.8,86.7,11835.9,13925.2,5638.1,59985.1,45.7,0.0
2017-01-01 10:00:00,0.0,0.0,0.0,-39591.7,-6200.2,-20537.9,-25463.4,0.0,0.0,0.0,-6295.3,-8998.8,0.0,-78570.5,0.0,0.0,1599.2,1828.4,716.6,86011.8,17649.4,54417.8,33312.3,4273.8,12240.8,69529.9,18668.2,16737.6,18018.1,170888.6,3396.4,233.1,245.3,540.1,2425.7,33119.8,11595.3,20328.0,37788.4,816.8,4640.7,86.7,11898.6,13985.4,5633.7,61647.6,45.4,0.0
2017-01-01 11:00:00,0.0,0.0,0.0,-39638.0,-5592.3,-20768.4,-22974.1,0.0,0.0,0.0,-5707.4,-8066.5,0.0,-72947.7,0.0,0.0,1530.8,1727.5,539.5,78953.9,22105.1,49682.1,48826.0,3964.3,9970.2,39157.1,24326.6,22177.9,16913.1,160773.7,3028.3,143.4,246.1,662.0,2921.1,32356.3,11618.6,16951.8,37906.7,816.4,4637.6,677.3,11922.0,14009.7,5646.6,59990.1,45.0,0.0
2017-01-01 12:00:00,0.0,0.0,0.0,-14182.0,-5228.9,-7602.0,-21661.8,0.0,0.0,0.0,-5595.8,-7488.0,0.0,-46594.8,0.0,0.0,1384.3,1506.7,173.2,4899.3,4579.6,3382.3,17157.4,3499.7,9377.1,30663.2,6346.8,5134.3,12751.1,36108.3,2505.6,97.7,250.9,666.8,2935.0,32293.3,11627.4,14697.5,37950.8,843.0,5049.0,1502.0,11930.7,14018.6,5639.7,60009.7,44.7,0.0
2017-01-01 13:00:00,0.0,0.0,0.0,-20679.9,-5259.1,-11198.5,-31633.7,0.0,0.0,0.0,-5677.3,-7453.4,0.0,-50542.2,0.0,0.0,1369.4,1413.1,0.0,18122.3,8431.8,12882.4,22314.3,3430.3,7892.8,16201.8,10168.6,8854.0,12128.1,61252.6,2404.4,85.8,247.9,638.9,2788.3,30692.9,11630.6,12442.8,37967.1,842.1,5059.5,1580.8,11933.9,14021.9,5632.7,57032.6,44.4,0.0
2017-01-01 14:00:00,0.0,0.0,0.0,-13492.4,-5700.1,-7217.5,-24569.2,0.0,0.0,0.0,-6184.3,-7865.4,0.0,-41384.7,0.0,0.0,1208.8,1238.7,0.0,19896.6,7782.8,14245.8,20132.5,3074.2,6527.6,12887.0,9168.9,8336.1,11585.7,61200.9,1959.8,74.3,243.0,620.7,2788.6,30693.6,11631.8,12411.8,37973.1,872.8,5692.0,1831.5,11935.1,14023.1,5645.6,57033.0,44.1,0.0
2017-01-01 15:00:00,0.0,0.0,0.0,-13163.3,-5801.5,-7011.0,-23833.9,0.0,0.0,0.0,-6265.1,-7948.0,0.0,-36645.5,0.0,0.0,1310.8,1425.5,189.0,28407.0,9813.4,19801.7,24692.1,3355.0,8388.5,11931.9,11405.2,10278.5,12223.3,78890.2,2203.4,85.9,241.0,592.4,2649.0,29090.3,11632.2,12419.1,37975.4,836.9,5065.2,1853.4,11935.5,14023.6,5641.3,54041.0,43.8,0.0
2017-01-01 16:00:00,0.0,0.0,0.0,-12927.2,-5799.0,-6881.6,-23894.7,0.0,0.0,0.0,-6288.2,-7837.8,0.0,-35517.9,0.0,0.0,1337.5,1459.3,328.9,29453.9,9464.3,20044.6,23782.7,3524.0,10188.1,10885.2,10945.8,9818.9,10773.3,78556.6,2306.3,105.7,241.9,601.7,2643.7,29090.3,11632.4,12417.2,37976.2,814.7,4648.7,1731.3,11935.7,14023.7,5633.7,54043.8,44.6,0.0
2017-01-01 17:00:00,0.0,0.0,0.0,-2871.1,-6140.0,-825.2,-25206.4,0.0,0.0,0.0,-6641.5,-8205.5,0.0,-29991.8,0.0,0.0,1451.0,1475.3,151.5,104220.3,24172.6,62036.4,52507.5,3936.8,12614.3,11607.9,26519.1,24205.4,11707.9,192528.0,2582.1,157.7,245.0,597.4,2637.8,29088.9,242.3,12410.6,506.9,817.3,4638.6,1771.3,250.6,319.2,5642.7,54042.8,45.6,0.0
2017-01-01 18:00:00,0.0,0.0,0.0,-29284.8,-628.1,-15523.9,-3055.6,0.0,0.0,0.0,-534.3,-924.0,0.0,-57738.3,0.0,0.0,1603.5,1565.4,33.4,101641.7,25059.8,62527.8,53466.9,4377.0,11685.7,13597.5,27612.4,24243.3,13238.5,193562.3,3090.7,233.4,247.8,620.5,2789.2,30694.7,241.1,13504.9,499.2,819.5,4637.4,1907.9,249.6,318.4,5642.9,57038.4,45.3,0.0
2017-01-01 19:00:00,0.0,0.0,0.0,-22888.3,-831.2,-12480.8,0.0,0.0,0.0,0.0,-779.6,-1019.0,0.0,-56899.3,0.0,0.0,1674.0,1516.8,0.0,4545.3,4934.3,3502.7,19738.9,4638.5,13636.7,0.0,7203.8,5074.4,14918.4,29972.4,3235.5,266.2,4.2,659.4,2940.3,32313.7,239.9,14647.6,504.7,21.5,375.6,85.5,248.4,317.5,5635.3,59992.6,45.0,0.0
2017-01-01 20:00:00,0.0,0.0,0.0,-50982.3,-835.6,-25682.2,-2812.1,0.0,0.0,0.0,-730.0,-1439.4,0.0,-95443.5,0.0,0.0,1680.2,1486.0,0.0,84818.9,19202.7,52592.3,41103.2,4652.2,11733.7,0.0,21741.6,18687.9,13065.6,164028.4,3290.0,289.8,4.2,664.4,2950.7,32351.1,241.8,16840.5,501.1,21.4,377.3,85.4,249.8,316.7,5639.2,60017.1,44.7,0.0
2017-01-01 21:00:00,0.0,0.0,0.0,-59019.0,-1769.2,-32281.2,-6077.6,0.0,0.0,0.0,-1566.4,-2557.9,0.0,-111634.2,0.0,0.0,1629.6,1415.1,0.0,78410.2,20090.8,43564.2,46355.7,4538.0,13032.8,0.0,22520.1,19680.5,13372.2,146885.7,3175.9,280.6,4.2,637.3,2790.0,30702.7,241.4,16892.5,502.4,21.3,378.4,85.4,249.9,319.0,5644.5,57031.4,44.4,0.0
