Datetime,TotalCoolingSensibleLoad (W) Building 10,TotalCoolingSensibleLoad (W) Building 11,TotalCoolingSensibleLoad (W) Building 13,TotalCoolingSensibleLoad (W) Building 16,TotalCoolingSensibleLoad (W) Building 20,TotalCoolingSensibleLoad (W) Building 18,TotalCoolingSensibleLoad (W) Building 22,TotalCoolingSensibleLoad (W) Building 24,TotalCoolingSensibleLoad (W) Building 28,TotalCoolingSensibleLoad (W) Building 29,TotalCoolingSensibleLoad (W) Building 30,TotalCoolingSensibleLoad (W) Building 31,TotalCoolingSensibleLoad (W) Building 34,TotalHeatingSensibleLoad (W) Building 10,TotalHeatingSensibleLoad (W) Building 11,TotalHeatingSensibleLoad (W) Building 13,TotalHeatingSensibleLoad (W) Building 16,TotalHeatingSensibleLoad (W) Building 20,TotalHeatingSensibleLoad (W) Building 18,TotalHeatingSensibleLoad (W) Building 22,TotalHeatingSensibleLoad (W) Building 24,TotalHeatingSensibleLoad (W) Building 28,TotalHeatingSensibleLoad (W) Building 29,TotalHeatingSensibleLoad (W) Building 30,TotalHeatingSensibleLoad (W) Building 31,TotalHeatingSensibleLoad (W) Building 34,TotalWaterHeating (W) Building 10,TotalWaterHeating (W) Building 11,TotalWaterHeating (W) Building 13,TotalWaterHeating (W) Building 16,TotalWaterHeating (W) Building 20,TotalWaterHeating (W) Building 18,TotalWaterHeating (W) Building 22,TotalWaterHeating (W) Building 24,TotalWaterHeating (W) Building 28,TotalWaterHeating (W) Building 29,TotalWaterHeating (W) Building 30,TotalWaterHeating (W) Building 31,TotalWaterHeating (W) Building 34
2017-01-01 01:00:00,0.0,0.0,0.0,-3025.5,-99350.7,-361.2,-887.0,-21.0,0.0,0.0,-769.9,-535.8,0.0,9370.6,17044.1,0.0,36784.2,193743.4,27681.4,26768.4,29116.6,6376.4,9063.4,27345.1,28570.2,0.0,51.3,140.6,87.1,533.0,54300.2,244.1,332.3,320.3,45.7,115.5,302.9,326.5,31441.0
2017-01-01 02:00:00,0.0,0.0,0.0,-3056.2,-96657.9,-377.5,-877.1,-26.9,0.0,0.0,-760.9,-544.4,0.0,9365.7,17084.3,0.0,35372.6,186746.4,26763.3,25853.9,28134.3,6306.4,9023.1,26373.7,27605.1,0.0,50.9,137.6,86.7,525.9,52792.8,243.1,331.7,319.6,45.4,113.5,302.1,325.9,323.2
2017-01-01 03:00:00,0.0,0.0,0.0,-1704.4,-90093.5,-357.9,-854.3,-20.4,0.0,0.0,-740.9,-523.2,0.0,9690.4,17677.5,98.4,36195.3,192453.8,27712.4,26796.5,29168.9,6597.7,9439.1,27313.9,28615.0,0.0,50.5,138.3,86.2,527.3,52792.9,241.9,330.9,318.8,45.1,111.5,301.2,325.1,318.6
2017-01-01 04:00:00,0.0,0.0,0.0,-943.7,-88443.2,-355.2,-848.8,-20.3,0.0,0.0,-736.1,-519.9,0.0,9904.2,18074.3,272.7,36756.6,194981.3,28285.5,27362.1,29786.1,6800.5,9734.1,27881.4,29211.1,0.0,50.1,139.2,85.7,529.8,52793.1,243.4,330.1,317.9,44.8,115.2,300.5,324.2,313.9
2017-01-01 05:00:00,0.0,0.0,0.0,-325.2,-87434.7,-353.2,-846.7,-20.2,0.0,0.0,-734.2,-518.2,0.0,10153.8,18529.0,391.9,40855.8,197674.8,28712.0,27765.9,30243.6,7035.1,10074.0,28287.9,29653.1,9725.0,49.7,136.2,85.3,522.7,52793.3,243.3,331.5,319.9,44.5,113.7,302.9,326.0,314.3
2017-01-01 06:00:00,0.0,0.0,0.0,-1399.5,-87222.4,-373.3,-846.5,-79.0,0.0,0.0,-734.2,-550.3,0.0,9571.3,17534.1,429.2,36273.6,175778.5,24834.8,23801.1,26052.6,6443.8,9342.2,24455.1,25585.8,7676.3,49.3,140.4,84.8,532.2,55875.1,242.2,331.9,319.7,44.2,111.7,302.0,326.1,321.9
2017-01-01 07:00:00,0.0,0.0,0.0,-4194.6,-100303.4,-519.0,-1042.5,-222.9,0.0,0.0,-886.4,-724.1,0.0,9639.3,17111.0,506.4,33254.1,170012.9,22991.9,21668.6,23906.3,6520.0,9451.6,22513.8,23499.5,5310.6,49.0,3523.1,84.4,526.6,62149.6,242.7,331.1,318.9,43.9,114.9,301.1,325.3,29659.7
2017-01-01 08:00:00,0.0,0.0,0.0,-8005.3,-113727.4,-681.9,-1556.2,-420.8,0.0,0.0,-1322.2,-1029.4,0.0,9664.0,17113.5,560.7,26169.2,162539.1,21040.6,19696.2,21655.7,6549.2,9499.9,20710.0,21424.4,534.3,51.3,2503.1,83.9,526.2,62150.3,243.6,330.3,318.0,44.1,113.9,300.7,324.4,29673.8
2017-01-01 09:00:00,0.0,0.0,0.0,0.0,-80448.9,-29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9215.1,16227.4,534.6,8979.7,20706.3,5045.8,4228.6,5333.9,6363.5,9246.6,4473.7,5489.5,245.8,50.9,2393.8,83.5,44751.5,62042.2,11623.4,14299.4,13958.4,45.7,111.9,13449.5,14136.6,29701.0
2017-01-01 10:00:00,0.0,0.0,0.0,-38479.2,-97312.0,-5799.3,-9229.4,-6804.8,0.0,0.0,-8373.1,-8578.6,0.0,8305.2,14560.5,14304.9,15078.3,197733.2,18428.9,16824.8,18837.7,5815.6,8360.0,16826.7,17804.2,394.4,50.5,2395.4,83.0,45150.2,63764.2,11685.7,14360.2,14018.5,45.4,114.5,13513.7,14197.1,29666.6
2017-01-01 11:00:00,0.0,0.0,0.0,-33150.5,-91433.6,-5391.0,-8449.0,-6591.7,0.0,0.0,-7374.2,-7944.9,0.0,8081.9,14069.4,9687.7,21400.3,187837.3,23266.6,21858.8,23808.2,5890.1,8226.5,22877.0,23602.5,137.5,50.1,2387.1,177.4,45304.6,62045.0,11709.1,14384.3,14042.9,45.0,114.0,13537.3,14221.3,35972.6
2017-01-01 12:00:00,0.0,0.0,0.0,-35851.8,-60108.7,-5401.8,-7848.3,-6925.2,0.0,0.0,-6835.4,-7746.8,-1038.8,7405.6,12846.2,7517.0,5554.8,37545.6,5914.7,5120.2,5948.6,5397.8,7449.6,5605.8,6295.1,62.9,49.7,2605.4,304.2,45362.3,62061.8,11717.7,14393.3,14051.8,44.7,112.0,13546.0,14230.3,35904.6
2017-01-01 13:00:00,0.0,0.0,0.0,-50620.9,-63220.1,-5489.5,-7815.6,-7001.0,0.0,0.0,-7089.4,-7754.4,-1872.8,7347.3,12707.3,4071.3,8696.5,76055.9,9732.0,8741.3,9398.7,5447.9,7459.6,9450.8,9962.6,17.2,49.3,2603.4,314.1,45383.6,58990.0,11720.9,14396.5,14055.1,44.4,114.1,13549.2,14233.6,34144.0
2017-01-01 14:00:00,0.0,0.0,0.0,-41944.5,-50708.0,-5966.7,-8325.0,-7571.5,0.0,0.0,-7737.0,-8309.4,0.0,6509.3,11259.0,2592.4,8507.5,73563.5,8960.5,8142.2,8807.4,4583.6,6397.1,8697.0,9184.6,37.7,49.0,2929.0,356.3,45391.6,58990.6,11722.0,14397.7,14056.3,44.1,114.2,13550.4,14234.8,34144.2
2017-01-01 15:00:00,0.0,0.0,0.0,-40729.0,-48758.5,-6058.0,-8405.2,-7656.2,0.0,0.0,-7799.0,-8406.0,0.0,6983.7,12057.9,2281.4,10893.3,94088.0,11041.5,10081.9,10901.3,4903.8,6892.2,10781.8,11352.8,46.8,51.3,2608.3,355.0,45394.5,55896.4,11722.5,14398.2,14056.8,43.8,112.2,13550.8,14235.2,32355.6
2017-01-01 16:00:00,0.0,0.0,0.0,-41455.7,-47822.0,-6069.4,-8346.8,-7623.8,0.0,0.0,-7804.4,-8359.0,0.0,7026.2,12171.0,1736.1,11420.0,90058.0,10610.9,9664.6,10414.9,4651.0,6714.0,10313.8,10821.8,76.2,50.9,2397.9,335.8,45395.6,55899.5,11722.6,14398.3,14056.9,44.6,113.7,13551.0,14235.4,32357.6
2017-01-01 17:00:00,0.0,0.0,0.0,-43924.9,-46381.6,-6432.9,-8768.0,-8041.7,0.0,0.0,-8279.6,-8780.5,-909.3,7454.2,13007.7,1849.2,40884.8,209175.3,25571.1,24287.9,27036.3,4683.2,6742.3,24818.9,26039.2,79.7,50.5,2389.4,351.2,533.0,55898.2,244.1,332.4,320.4,45.6,114.4,303.0,326.6,32357.7
2017-01-01 18:00:00,0.0,0.0,0.0,-1422.2,-74087.9,-500.3,-1037.9,-440.0,0.0,0.0,-851.9,-763.6,-1267.3,8130.0,14198.0,2615.7,35077.2,218492.9,25834.8,23759.6,26718.0,5246.1,7534.8,25026.8,25891.7,78.4,50.1,2386.9,359.6,525.9,58996.4,243.0,331.6,319.6,45.3,112.4,302.1,325.8,34144.3
2017-01-01 19:00:00,0.0,0.0,0.0,0.0,-68269.7,-777.6,-1069.1,-422.1,0.0,0.0,-958.8,-953.0,-1812.0,8234.6,14986.6,0.0,14044.6,27765.0,5995.9,5207.8,6464.1,5330.8,7673.0,5491.4,6447.7,52.3,49.7,140.6,83.2,527.2,62042.3,241.9,330.8,318.7,45.0,113.3,301.1,325.0,35945.6
2017-01-01 20:00:00,0.0,0.0,0.0,-1136.0,-111997.1,-706.9,-1524.5,-539.0,0.0,0.0,-1281.0,-998.1,-2195.2,8257.4,15080.1,0.0,24742.3,186235.3,20044.9,18105.4,21639.7,5350.5,7712.5,18854.0,20501.4,40.4,49.3,137.6,84.9,529.8,62065.4,243.5,330.0,317.8,44.7,114.6,300.6,324.2,35979.1
2017-01-01 21:00:00,0.0,0.0,0.0,-10296.3,-140731.9,-1397.5,-2693.8,-1054.5,0.0,0.0,-2313.0,-2266.5,-2805.3,8012.7,14680.5,0.0,25082.5,170125.7,20774.1,19368.4,20993.1,5104.3,7399.1,20535.6,20932.0,32.5,49.0,138.3,86.9,522.8,58989.4,243.3,331.7,320.1,44.4,112.6,302.9,326.1,34148.9
2017-01-01 22:00:00,0.0,0.0,0.0,-13335.1,-150060.7,-1062.2,-2514.6,-593.8,0.0,0.0,-2073.3,-1704.7,0.0,8357.6,15276.7,0.0,25568.6,160463.5,21208.1,19749.8,21551.5,5443.6,7835.1,20911.3,21492.8,104.8,51.3,139.2,86.5,532.2,62085.3,242.2,331.9,319.7,44.0,112.9,302.0,326.0,35939.9
2017-01-01 23:00:00,0.0,0.0,0.0,-9836.9,-141478.1,-547.9,-1249.1,-258.5,0.0,0.0,-1062.0,-777.2,0.0,8521.0,15556.3,0.0,28586.9,163173.8,22562.6,21296.1,23280.2,5588.9,8022.8,22207.4,22949.6,427.6,50.9,136.3,86.0,526.6,58985.5,242.8,331.1,318.8,43.7,114.8,301.1,325.2,34142.7
2017-01-02 00:00:00,0.0,0.0,0.0,-5397.2,-120429.9,-379.9,-843.6,-58.4,0.0,0.0,-731.3,-535.5,0.0,8187.3,14981.5,0.0,30325.7,160374.5,22564.5,21557.2,23549.8,5246.6,7581.2,22275.7,23181.2,1751.9,50.5,140.4,85.5,526.2,52792.3,243.6,330.3,318.0,45.0,112.8,300.9,324.4,30567.3
2017-01-02 01:00:00,0.0,0.0,0.0,-5725.4,-106701.8,-404.9,-867.9,-153.5,0.0,0.0,-752.1,-588.2,0.0,6853.8,13864.9,0.0,29651.4,148202.9,20796.7,19899.8,21738.5,4836.4,7062.0,20509.8,21352.7,0.0,50.1,137.9,85.1,530.5,52857.8,242.5,330.9,319.7,45.5,112.5,302.8,325.5,30606.2
2017-01-02 02:00:00,0.0,0.0,0.0,-4694.9,-100207.8,-403.1,-851.5,-133.4,0.0,0.0,-737.6,-572.2,0.0,7001.5,14066.4,0.0,29742.0,154028.9,21704.2,20884.4,22782.3,4975.8,7232.7,21421.0,22343.1,0.0,49.7,137.9,84.6,523.4,51342.2,242.2,332.1,319.8,45.2,115.0,301.9,326.2,323.2
2017-01-02 03:00:00,0.0,0.0,0.0,-3957.3,-96085.9,-392.8,-837.7,-136.1,0.0,0.0,-725.5,-565.9,0.0,6921.9,13904.2,0.0,32505.7,152938.6,21535.0,20750.4,22645.3,4893.3,7118.5,21245.8,22171.3,0.0,49.3,139.5,84.2,531.1,51330.6,243.9,331.3,318.9,44.9,113.0,301.0,325.4,318.5
2017-01-02 04:00:00,0.0,0.0,0.0,-2397.8,-94501.2,-376.7,-834.0,-76.3,0.0,0.0,-722.2,-545.1,0.0,7348.9,14600.2,1.7,30893.2,168417.9,24052.5,23292.2,25350.1,5333.1,7655.3,23778.0,24838.8,0.0,49.0,136.5,83.7,527.3,51288.0,242.8,330.5,318.1,44.6,112.1,301.1,324.6,313.9
2017-01-02 05:00:00,0.0,0.0,0.0,-2669.8,-93557.8,-387.9,-833.0,-114.1,0.0,0.0,-721.6,-559.8,0.0,6988.4,13951.9,86.1,33204.4,158624.9,22384.9,21631.0,23571.8,4971.6,7177.3,22116.6,23102.1,7767.2,51.3,140.1,83.3,525.1,52868.2,241.6,330.1,319.4,44.3,115.2,302.7,324.9,314.4
2017-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,-393.2,-847.8,-119.7,0.0,0.0,-734.7,-574.4,0.0,7043.1,54627.9,197.5,31.2,0.0,21859.1,20983.8,22965.2,5091.7,7344.8,21587.9,22487.2,5727.2,50.9,138.1,83.8,531.2,54463.2,244.1,332.4,319.9,44.0,113.1,301.8,326.4,321.9
2017-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,-700.5,-1449.3,-446.2,0.0,0.0,-1238.7,-1005.6,0.0,61514.9,135245.7,300.5,323.9,0.0,21248.6,20027.5,21992.6,27930.6,44019.2,20922.9,21628.7,3737.5,50.5,3920.3,87.0,524.1,62119.4,243.1,331.6,319.0,43.7,111.7,300.9,325.6,29702.8
2017-01-02 08:00:00,0.0,0.0,0.0,-7029.3,-102928.9,-1131.6,-2133.1,-900.6,0.0,0.0,-1855.8,-1698.7,0.0,57473.2,157612.6,315.5,35141.9,257441.1,17849.9,16693.5,18191.0,42776.1,60375.9,17629.4,18203.5,418.8,1710.4,4000.7,86.6,530.1,65411.7,241.9,330.8,318.2,45.5,115.4,301.4,324.7,37785.9
2017-01-02 09:00:00,0.0,0.0,0.0,0.0,-78819.9,-70.5,-35.8,-2.3,0.0,0.0,-16.4,0.0,0.0,39941.2,92874.8,13509.8,10475.4,31248.1,2406.5,1783.3,2470.2,31846.1,43959.2,1927.8,2779.5,164.5,1938.1,5718.9,86.1,44777.5,63730.6,11632.6,14307.3,13966.5,2385.1,4837.9,13457.4,14144.6,36917.4
2017-01-02 10:00:00,0.0,0.0,0.0,-34936.4,-76704.5,-6174.1,-9469.8,-7184.2,0.0,0.0,-8766.2,-8942.5,-937.3,31001.0,73496.8,9355.6,16339.3,203344.5,15297.1,14270.9,15393.1,23184.2,33287.3,14734.1,15380.8,90.9,2055.6,6075.5,198.1,45161.9,60661.0,11687.8,14363.6,14021.9,4392.8,6111.6,13516.7,14200.5,35144.4
2017-01-02 11:00:00,0.0,0.0,0.0,-46550.6,-71468.5,-5661.8,-8506.6,-6955.6,0.0,0.0,-7681.7,-8165.1,0.0,24292.9,56574.4,6176.5,13557.7,154937.8,14625.8,13987.1,15001.8,17275.2,25279.9,14519.3,14807.7,46.5,2054.5,6183.9,269.9,45308.7,59071.2,11709.9,14385.6,14044.1,4607.9,6201.9,13538.4,14222.6,34184.2
