Datetime,TotalCoolingSensibleLoad (W) Building 7,TotalCoolingSensibleLoad (W) Building 15,TotalCoolingSensibleLoad (W) Building 17,TotalCoolingSensibleLoad (W) Building 21,TotalCoolingSensibleLoad (W) Building 25,TotalCoolingSensibleLoad (W) Building 35,TotalHeatingSensibleLoad (W) Building 7,TotalHeatingSensibleLoad (W) Building 15,TotalHeatingSensibleLoad (W) Building 17,TotalHeatingSensibleLoad (W) Building 21,TotalHeatingSensibleLoad (W) Building 25,TotalHeatingSensibleLoad (W) Building 35,TotalWaterHeating (W) Building 7,TotalWaterHeating (W) Building 15,TotalWaterHeating (W) Building 17,TotalWaterHeating (W) Building 21,TotalWaterHeating (W) Building 25,TotalWaterHeating (W) Building 35
2017-01-01 01:00:00,0.0,0.0,-55703.7,-443.8,-51917.5,0,0.0,0.0,79339.8,29528.9,149960.3,242.6,26297.1,78.1,32747.6,310.6,37324.2,0.0
2017-01-01 02:00:00,0.0,0.0,-54108.6,-451.4,-50585.9,0,0.0,0.0,77497.1,28553.2,145347.1,440.3,308.4,77.2,31842.2,309.9,36291.1,0.0
2017-01-01 03:00:00,0.0,0.0,-49933.7,-431.8,-46879.6,0,0.0,0.0,79778.1,29599.5,149919.2,657.2,303.4,76.3,31843.4,309.0,36292.0,0.0
2017-01-01 04:00:00,0.0,0.0,-47898.2,-428.2,-45847.0,0,0.0,565.4,80796.7,30227.1,151915.3,837.5,298.4,75.4,31844.7,308.1,36292.8,0.0
2017-01-01 05:00:00,0.0,0.0,-46930.2,-426.3,-45271.7,0,9396.6,1489.8,81780.1,30684.7,154017.5,1022.9,305.7,76.3,31845.2,310.6,36293.8,0.0
2017-01-01 06:00:00,0.0,0.0,-46402.6,-456.5,-45420.7,0,8035.8,1943.4,74723.6,26402.1,138858.4,982.3,304.7,77.7,33695.5,309.9,38403.0,0.0
2017-01-01 07:00:00,0.0,0.0,-54024.0,-616.9,-53169.3,0,5746.4,2646.0,71714.5,24253.2,134271.9,1048.4,24806.8,76.8,37405.1,309.0,42681.7,0.0
2017-01-01 08:00:00,0.0,0.0,-63641.1,-860.9,-60728.6,0,1301.2,14777.1,67632.5,22116.8,128183.4,1092.5,24822.5,75.9,37412.8,308.1,42634.6,0.0
2017-01-01 09:00:00,0.0,0.0,-30277.3,-3.3,-44056.3,0,296.0,43806.9,491.5,5661.3,19838.2,616.1,24843.1,75.0,37442.5,13680.5,42661.7,0.0
2017-01-01 10:00:00,0.0,0.0,-44030.2,-7461.0,-50501.4,0,1038.8,58220.5,85092.6,18776.9,154274.5,139.1,24817.2,979.4,38382.0,13740.1,43767.1,0.0
