hour;solar_thermal_profil;power_price
1;0.442396512;1
2;0.187492435;1
3;0.976106219;1
4;0.53797685;1
5;0.779545306;1
6;0.803067362;1
7;0.614407711;1
8;0.385845019;1
9;0.516630083;1
10;0.886011241;1
11;0.192448818;1
12;0.167145389;1
13;0.027638966;1
14;0.465113103;1
15;0.85402405;1
16;0.641818425;1
17;0.511672442;1
18;0.284664943;1
19;0.480192441;1
20;0.681170315;1
21;0.219661843;1
22;0.109345502;1
23;0.116386902;1
24;0.951193224;1
25;0.57360225;1
26;0.669570927;1
27;0.63103792;1
28;0.760457784;1
29;0.116261685;1
30;0.684742036;1
31;0.355127842;1
32;0.632630432;1
33;0.58253386;1
34;0.658925918;1
35;0.159440524;1
36;0.264211966;1
37;0.513863485;1
38;0.83330879;1
39;0.695669421;1
40;0.580024502;1
41;0.446984509;1
42;0.782714053;1
43;0.417649157;1
44;0.470626791;1
45;0.104823981;1
46;0.881991441;1
47;0.144595345;1
48;0.683120038;1
49;0.684530862;1
50;0.946457414;1
51;0.337454722;1
52;0.661699724;1
53;0.646851475;1
54;0.268326727;1
55;0.286214605;1
56;0.301820489;1
57;0.038229348;1
58;0.882025545;1
59;0.918925225;1
60;0.841449419;1
61;0.79008745;1
62;0.894541114;1
63;0.108249025;1
64;0.602954098;1
65;0.934358846;1
66;0.073082717;1
67;0.250124334;1
68;0.682881956;1
69;0.108783135;1
70;0.554630568;1
71;0.435842419;1
72;0.219651729;1
73;0.349979743;1
74;0.597258036;1
75;0.708031521;1
76;0.520252144;1
77;0.395060046;1
78;0.638550313;1
79;0.245000107;1
80;0.327067509;1
81;0.180004545;1
82;0.101864925;1
83;0.379940896;1
84;0.849785484;1
85;0.12910298;1
86;0.17210409;1
87;0.686518778;1
88;0.4786868;1
89;0.250735135;1
90;0.459230934;1
91;0.222189376;1
92;0.543669562;1
93;0.455147491;1
94;0.729381157;1
95;0.476733091;1
96;0.829966684;1
97;0.2769613;1
98;0.374220455;1
99;0.438394559;1
100;0.07040702;1
101;0.739684492;1
102;0.932023544;1
103;0.951412422;1
104;0.516303842;1
105;0.30294951;1
106;0.450958622;1
107;0.978698075;1
108;0.42299493;1
109;0.469421332;1
110;0.930128183;1
111;0.941574904;1
112;0.003298021;1
113;0.875333336;1
114;0.554512963;1
115;0.758025276;1
116;0.423304161;1
117;0.478790903;1
118;0.209263542;1
119;0.247723021;1
120;0.348476205;1
121;0.783621883;1
122;0.466872003;1
123;0.729308338;1
124;0.498244057;1
125;0.216875701;1
126;0.795675854;1
127;0.703313294;1
128;0.722841928;1
129;0.411934032;1
130;0.15807699;1
131;0.222845699;1
132;0.157275134;1
133;0.311054213;1
134;0.487216664;1
135;0.593915727;1
136;0.474740521;1
137;0.169612662;1
138;0.261108743;1
139;0.266939875;1
140;0.438667526;1
141;0.116909442;1
142;0.799220414;1
143;0.707913615;1
144;0.543461936;1
145;0.664713902;1
146;0.655213927;1
147;0.249676936;1
148;0.54819756;1
149;0.467754312;1
150;0.593100494;1
151;0.604835514;1
152;0.746527329;1
153;0.64149091;1
154;0.107914358;1
155;0.718688679;1
156;0.703328817;1
157;0.003754884;1
158;0.665279172;1
159;0.431921268;1
160;0.189594957;1
161;0.650678022;1
162;0.66241178;1
163;0.395605044;1
164;0.544232267;1
165;0.527691506;1
166;0.80987255;1
167;0.746358629;1
168;0.740482605;1
169;0.997289443;1
170;0.893442176;1
171;0.391539051;1
172;0.809473415;1
173;0.403042913;1
174;0.384623259;1
175;0.751511516;1
176;0.662150271;1
177;0.333323476;1
178;0.661160673;1
179;0.942045474;1
180;0.405045423;1
181;0.83278464;1
182;0.620498187;1
183;0.849896527;1
184;0.811514022;1
185;0.88049236;1
186;0.053817677;1
187;0.332477134;1
188;0.179121509;1
189;0.08939341;1
190;0.096383437;1
191;0.516239752;1
192;0.854128584;1
193;0.514330838;1
194;0.17229927;1
195;0.783208699;1
196;0.757030937;1
197;0.359734636;1
198;0.462127047;1
199;0.349538345;1
200;0.222938385;1
201;0.458386855;1
202;0.010923903;1
203;0.983806458;1
204;0.216955063;1
205;0.274905897;1
206;0.545769239;1
207;0.045840627;1
208;0.715911853;1
209;0.338212879;1
210;0.575468769;1
211;0.453370982;1
212;0.005657422;1
213;0.367076563;1
214;0.591073024;1
215;0.191717188;1
216;0.541308174;1
217;0.421474811;1
218;0.840782365;1
219;0.853245135;1
220;0.932276232;1
221;0.81093945;1
222;0.591345885;1
223;0.287255333;1
224;0.204114787;1
225;0.877235377;1
226;0.169072204;1
227;0.527079715;1
228;0.759676776;1
229;0.066673719;1
230;0.721296309;1
231;0.164209311;1
232;0.420333357;1
233;0.336035384;1
234;0.069373802;1
235;0.065460807;1
236;0.617551696;1
237;0.452408403;1
238;0.921975222;1
239;0.542888408;1
240;0.194433656;1
241;0.948063504;1
242;0.823063077;1
243;0.107896219;1
244;0.937991258;1
245;0.335658231;1
246;0.665840817;1
247;0.918661825;1
248;0.626579231;1
249;0.458998933;1
250;0.94938947;1
251;0.531074847;1
252;0.229662162;1
253;0.545920481;1
254;0.007902672;1
255;0.528718653;1
256;0.193782327;1
257;0.419688359;1
258;0.943573889;1
259;0.327646288;1
260;0.810094376;1
261;0.148052973;1
262;0.210230893;1
263;0.005359101;1
264;0.103706526;1
265;0.158994058;1
266;0.115437722;1
267;0.390504081;1
268;0.43403824;1
269;0.420075;1
270;0.68687615;1
271;0.942503802;1
272;0.066551532;1
273;0.142081231;1
274;0.672968664;1
275;0.046256513;1
276;0.823612973;1
277;0.856093504;1
278;0.812260492;1
279;0.795908615;1
280;0.262807525;1
281;0.590357039;1
282;0.821298186;1
283;0.530113757;1
284;0.792140261;1
285;0.253475712;1
286;0.4674142;1
287;0.605173413;1
288;0.584880271;1
289;0.939772827;1
290;0.379876984;1
291;0.408887027;1
292;0.890819835;1
293;0.801112718;1
294;0.048413685;1
295;0.142686401;1
296;0.214452961;1
297;0.120628343;1
298;0.65574428;1
299;0.174794103;1
300;0.822560287;1
301;0.687923224;1
302;0.212407975;1
303;0.896968779;1
304;0.413685855;1
305;0.207588118;1
306;0.039429144;1
307;0.109949264;1
308;0.009881681;1
309;0.432722236;1
310;0.540625488;1
311;0.652204551;1
312;0.344778712;1
313;0.886038635;1
